genus,species,image_count,country_count,sources
Cynorkis,speciosa Ridl.,30,0,GBIF
Cynorkis,squamosa Poir.,30,0,GBIF
Cyrtochilum,revolutum,30,0,GBIF
Aerangis,biloba,30,0,GBIF
Prosthechea,grammatoglossa,30,0,GBIF
Prosthechea,ghiesbreghtiana,30,0,GBIF
Gastrodia,peichatieniana,30,0,GBIF
Cyrtochilum,pastasae,30,0,GBIF
Cyrtochilum,mystacinum,30,0,GBIF
Gastrodia,nipponica,30,0,GBIF
Cypripedium,bardolphianum W.,30,1,GBIF
Oncidium,lindleyi,30,0,GBIF
Cyrtochilum,myanthum,30,0,GBIF
Oncidium,lindleyoides,30,0,GBIF
Gastrodia,lacista,30,0,GBIF
Prosthechea,fragrans,30,0,GBIF
Gastrodia,elata,30,0,GBIF
Prosthechea,fausta,30,0,GBIF
Gastrodia,confusoides,30,0,GBIF
Oncidium,luteopurpureum,30,0,GBIF
Cyrtochilum,murinum,30,0,GBIF
Cypripedium,formosanum Hayata,30,1,GBIF
Cyrtochilum,midas,30,0,GBIF
Cypripedium,himalaicum Rolfe,30,1,GBIF
Cypripedium,irapeanum Lex.,30,1,GBIF
Aerangis,ellisii,30,0,GBIF
Cypripedium,kentuckiense C.,30,1,GBIF
Prosthechea,chacaoensis,30,0,GBIF
Cyrtochilum,macranthum,30,0,GBIF
Gastrochilus,obliquus,30,0,GBIF
Gastrochilus,matsudae,30,0,GBIF
Oncidium,mirandum,30,0,GBIF
Prosthechea,calamaria,30,0,GBIF
Prosthechea,bulbosa,30,0,GBIF
Gastrochilus,fuscopunctatus,30,0,GBIF
Gastrochilus,formosanus,30,0,GBIF
Oncidium,nebulosum,30,0,GBIF
Gastrochilus,ciliaris,30,0,GBIF
Cypripedium,x ventricosum,30,1,GBIF
Cyrtochiloides,panduriformis,30,0,GBIF
Galeandra,styllomisantha,30,0,GBIF
Aerangis,decaryana,30,0,GBIF
Epidendrum,lignosum,30,0,GBIF
Cyrtochilum,annulare,30,0,GBIF
Cyrtochilum,aureum,30,0,GBIF
Galearis,camtschatica,30,0,GBIF
Prosthechea,aemula,30,0,GBIF
Cyrtochilum,caespitosum,30,0,GBIF
Promenaea,xanthina,30,0,GBIF
Cyrtochilum,halteratum,30,0,GBIF
Cyrtochilum,dipterum,30,0,GBIF
Cyrtochilum,divaricatum,30,0,GBIF
Cyrtochilum,dodianum,30,0,GBIF
Prescottia,oligantha Sw.,30,0,GBIF
Pelexia,novofriburgensis,30,0,GBIF
