genus,species,image_url,source,country,locality,latitude,longitude,observer,license,created_at
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/570069953/original.jpg,iNaturalist,"Cypress County, AB, Canada","Cypress County, AB, Canada",49.6275250,-110.2992370,d_wood12,cc-by-nc,2025-11-26 03:39:44.788765
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/570069951/original.jpg,iNaturalist,"Cypress County, AB, Canada","Cypress County, AB, Canada",49.6275250,-110.2992370,d_wood12,cc-by-nc,2025-11-26 03:39:44.641605
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/570069971/original.jpg,iNaturalist,"Cypress County, AB, Canada","Cypress County, AB, Canada",49.6275250,-110.2992370,d_wood12,cc-by-nc,2025-11-26 03:39:44.574686
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/570069949/original.jpg,iNaturalist,"Cypress County, AB, Canada","Cypress County, AB, Canada",49.6275250,-110.2992370,d_wood12,cc-by-nc,2025-11-26 03:39:44.500166
Calypso,bulbosa,https://static.inaturalist.org/photos/570106037/original.jpg,iNaturalist,"Yellowhead County, AB T0E, Canada","Yellowhead County, AB T0E, Canada",53.0737363,-117.2749290,lysandra,,2025-11-26 03:39:44.408547
Calypso,bulbosa,https://static.inaturalist.org/photos/570106117/original.jpg,iNaturalist,"Yellowhead County, AB T0E, Canada","Yellowhead County, AB T0E, Canada",53.0737389,-117.2753336,lysandra,,2025-11-26 03:39:44.340437
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/570559043/original.jpg,iNaturalist,"Whistler, BC, CA","Whistler, BC, CA",50.1284915,-122.9404623,mbeaven,cc-by-nc,2025-11-26 03:39:44.276510
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/475422861/original.jpg,GBIF,United States of America,,39.3486880,-123.5417870,samstrich,http://creativecommons.org/licenses/by-nc/4.0/,2025-11-26 03:38:59.613832
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/570559050/original.jpg,iNaturalist,"Whistler, BC, CA","Whistler, BC, CA",50.1284915,-122.9404623,mbeaven,cc-by-nc,2025-11-26 03:39:44.157637
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/571305732/original.jpg,iNaturalist,"Kiwanis Camp Rd, Government Camp, OR, US","Kiwanis Camp Rd, Government Camp, OR, US",45.3103367,-121.8206117,emjay_pdx,cc-by-nc,2025-11-26 03:39:44.060787
Calypso,bulbosa,https://static.inaturalist.org/photos/572249779/original.jpg,iNaturalist,"Denali County, US-AK, US","Denali County, US-AK, US",63.5452738,-150.8488688,ryan_arash,,2025-11-26 03:39:43.996393
Calypso,bulbosa,https://static.inaturalist.org/photos/572249774/original.jpg,iNaturalist,"Denali County, US-AK, US","Denali County, US-AK, US",63.5452738,-150.8488688,ryan_arash,,2025-11-26 03:39:43.909485
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/572370552/original.jpg,iNaturalist,"Cariboo, BC, Canada","Cariboo, BC, Canada",52.0853417,-121.8460389,reginasadie,cc-by-nc,2025-11-26 03:39:43.809600
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/572370553/original.jpg,iNaturalist,"Cariboo, BC, Canada","Cariboo, BC, Canada",52.0853417,-121.8460389,reginasadie,cc-by-nc,2025-11-26 03:39:43.717665
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/572462277/original.jpg,iNaturalist,"Central Coast, BC, Canada","Central Coast, BC, Canada",51.6448463,-127.9609799,jbindernagel,cc-by-nc,2025-11-26 03:39:43.653025
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/573848254/original.jpg,iNaturalist,"Kananaskis, AB T0L, Canada","Kananaskis, AB T0L, Canada",50.3370658,-114.6236535,norbertkondla,cc-by-nc,2025-11-26 03:39:43.439786
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/574907199/original.jpg,iNaturalist,"Capital Regional District, BC, Canada","Capital Regional District, BC, Canada",48.5144680,-123.4967080,enspring,cc0,2025-11-26 03:39:43.350727
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/575451749/original.jpg,iNaturalist,"Fraser Valley, BC, CA","Fraser Valley, BC, CA",49.1267554,-121.4533282,harperchrisd,cc-by-nc,2025-11-26 03:39:43.277844
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/575451750/original.jpg,iNaturalist,"Fraser Valley, BC, CA","Fraser Valley, BC, CA",49.1267554,-121.4533282,harperchrisd,cc-by-nc,2025-11-26 03:39:43.178098
Calypso,bulbosa,https://static.inaturalist.org/photos/575925641/original.jpg,iNaturalist,"Lane County, OR, USA","Lane County, OR, USA",43.9873374,-123.0925295,wingtrip,,2025-11-26 03:39:43.111496
Calypso,bulbosa,https://static.inaturalist.org/photos/575925654/original.jpg,iNaturalist,"Lane County, OR, USA","Lane County, OR, USA",43.9873374,-123.0925295,wingtrip,,2025-11-26 03:39:43.044363
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/576218958/original.jpg,iNaturalist,"Kananaskis, AB, CA","Kananaskis, AB, CA",50.9008875,-115.1435017,leanne77325,cc-by-nc,2025-11-26 03:39:42.977015
Calypso,bulbosa,https://static.inaturalist.org/photos/576260342/original.jpg,iNaturalist,Lyons,Lyons,44.8448486,-122.2071228,indigorchid,,2025-11-26 03:39:42.909462
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/577777799/original.jpg,iNaturalist,"Sandoval County, NM, USA","Sandoval County, NM, USA",35.8261899,-106.4907396,turtlocity,cc-by-nc,2025-11-26 03:39:42.841189
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/579938669/original.jpg,iNaturalist,"White River National Forest, Vail, CO, US","White River National Forest, Vail, CO, US",39.6297837,-106.3796464,stephlovesplants,cc-by-nc,2025-11-26 03:39:42.777341
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/578194995/original.jpg,iNaturalist,"White River National Forest, Vail, CO, US","White River National Forest, Vail, CO, US",39.6297837,-106.3796464,stephlovesplants,cc-by-nc,2025-11-26 03:39:42.713509
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/578477164/original.jpg,iNaturalist,"Yeta Terr, Colwood, BC, CA","Yeta Terr, Colwood, BC, CA",48.4380262,-123.4877460,naturelover7782,cc-by-nc,2025-11-26 03:39:42.649689
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/578652531/original.jpg,iNaturalist,"Custer-Gallatin National Forest, Gardiner, MT, US","Custer-Gallatin National Forest, Gardiner, MT, US",45.0976612,-110.6348950,hmanderson,cc-by-nc,2025-11-26 03:39:42.584293
Calypso,bulbosa,https://inaturalist-open-data.s3.amazonaws.com/photos/578652493/original.jpg,iNaturalist,"Custer-Gallatin National Forest, Gardiner, MT, US","Custer-Gallatin National Forest, Gardiner, MT, US",45.0976612,-110.6348950,hmanderson,cc-by-nc,2025-11-26 03:39:42.517865
